ShortName,LongName,Issn
Taiwan in Comparative Perspective,Taiwan Culture Research Program,
Taiwan Journal of Ophthalmology,Elsevier Science,2211-5056
Taiwan Review,Kwang Hwa Publishing Company,1727-5148
Taiwan Veterinary Journal,World Scientific Publishing Co. Pte. Ltd.,1682-6485
Taiwanese Journal of Mathematics,Mathematical Society of Roc,1027-5487
Taiwanese Journal of Obstetrics and Gynecology,Elsevier Science,1028-4559
Takahe,Takahe Publishing Collective ,0114-4138
Takam Tikou,La Joie par les livres,1271-6103(Paper)2107-6685(Online)
Talanta,Elsevier Science,0039-9140
Talent Development and Excellence,International Research Association for Talent Development and Excellence (IRATDE),
Talking Points,National Council of Teachers of English,1522-6115
Taloha : Revue Scientifique Internationale des Civilisations,ICMAA,0496-7801(Paper)1816-9082(Online)
Tampa Review,University of Tampa Press,0896-064X(Paper)2326-4101(Online)
Tampereen Kauppakamarilehti,Tampereen Kauppakamarilehti,0782-3541
Tan Sheet,Elsevier Business Intelligence,1530-1206
Tandartspraktijk,Bohn Stafleu Van Loghum BV,0167-1685
Tándem: Didáctica de la Educación Física,Editorial Grao,
Tank Storage Magazine,Horseshoe Media Ltd,1750-841X
Tanta Dental Journal,Elsevier Science,1687-8574
Tanz,Theaterverlag Friedrich Berlin,1869-7720
TanzRaumBerlin,TanzRaumBerlin,2193-8520
TAPA,Johns Hopkins University Press,0360-5949(Paper)1533-0699(Online)
Target: International Journal on Translation Studies,John Benjamins BV,0924-1884(Paper)1569-9986(Online)
Targeted Oncology,Springer Science+Business Media B.V.,1776-2596(Paper)1776-260X(Online)
Targets,Elsevier Science,1477-3627
Társadalom és Gazdaság,Akademiai Kiado,1588-9734(Paper)1589-021X(Online)
Társadalomkutatás,Akademiai Kiado,0231-2522(Paper)1588-2918(Online)
Tates Export Guide,Tates Publishing House,0968-0241
Tatra Mountains Mathematical Publications,Versita,1210-3195
Tattoo,Paisano Publications,1041-3146
Tax Management Country Portfolios,Bloomberg BNA International,
Tax Management International Journal,Bloomberg BNA,0090-4600(Paper)1544-0761(Online)
Tax Planning International Asia-Pacific Focus,Bloomberg BNA International,1478-5129
Tax Planning International Transfer Pricing,Bloomberg BNA International,1472-0841
Tax Planning Review,Key Haven Publications,2051-4808(Paper)2051-4816(Online)
Tax Policy and the Economy,The University of Chicago Press,0892-8649(Paper)1537-2650(Online)
Tax Practice Library   ,Bloomberg BNA,
Tax Treaties Analysis,Bloomberg BNA International,2041-6059
TaxCore,Bloomberg BNA,(Paper)1532-5229(Online)
Taxes: The Tax Magazine,CCH Incorporated,0040-0181
Taxon,International Association for Plant Taxonomy,0040-0262
Taylor's Business Review (TBR),Global Science and Technology Forum,(Paper)2232-0172(Online)
Tazine,Transitions Abroad,
TB & Outbreaks Week,Newsrx.Com,1531-6432(Paper)1532-4699(Online)
Tbilisi Mathematical Journal,De Gruyter,1875-158X(Paper)1512-0139(Online)
TCE: The Chemical Engineer,Institution of Chemical Engineers,0302-0797
TCT Magazine,Rapid News Publications PLC,
TDR: The Drama Review,Massachusetts Institute of Technology Press (MIT Press),1054-2043(Paper)1531-4715(Online)
TDR: The Drama Review (Project Muse),Massachusetts Institute of Technology Press (MIT Press),1054-2043(Paper)1531-4715(Online)
Te Ara = Journal of Museums Aotearoa,Museums Aotearoa,(Paper)1178-7627(Online)
Te Avei'a,L'Institut Territorial Statistique,0293-2547
Te Reo,NZSG Maori Interest Group,1176-4767
Tea & Coffee Trade Journal,"Lockwood Trade Journal Co., Inc.",0040-0343
Teach Magazine,Teach Magazine,1198-7707
Teacher Development,Routledge,1366-4530(Paper)1747-5120(Online)
Teacher Education & Practice,Rowman & Littlefield Publishers,0890-6459
Teacher Education and Special Education,SAGE Publications,0888-4064(Paper)1944-4931(Online)
The Teacher Educator,Routledge,0887-8730(Paper)1938-8101(Online)
Teacher Librarian,E L Kurdyla Publishing LLC,1481-1782
Teacher Magazine,Editorial Projects Education,1046-6193
Teachers and Teaching: Theory and Practice,Routledge,1354-0602(Paper)1470-1278(Online)
Teachers College Record,Teachers College Record,0161-4681(Paper)1467-9620(Online)
Teaching & Learning,Questions Publishing Company ,
Teaching & Learning - Canada,Brock Golden Horseshoe Education,1703-2598
Teaching & Learning Inquiry: The ISSOTL Journal,Indiana University Press,2167-4779(Paper)2167-4787(Online)
Teaching & Learning Inquiry: The ISSOTL Journal (Project Muse),Indiana University Press,2167-4779(Paper)2167-4787(Online)
Teaching & Learning: The Journal of Natural Inquiry and Reflective Practice,Center for Teaching & Learning,0887-9486
Teaching and Learning in Medicine,Routledge,1040-1334(Paper)1532-8015(Online)
Teaching and Learning in Nursing,WB Saunders Company,1557-3087(Paper)1557-2013(Online)
Teaching and Teacher Education,Elsevier Science,0742-051X
Teaching Anthropology: Society for Anthropology in Community Colleges Notes,American Anthropological Association,1537-1751(Paper)1941-4161(Online)
Teaching Anthropology: Society for Anthropology in Community Colleges Notes,Wiley-Blackwell,(Paper)1941-4161(Online)
Teaching Artist Journal,Routledge,1541-1796(Paper)1541-180X(Online)
Teaching Business Ethics,Springer Science+Business Media B.V.,1382-6891
Teaching Children Mathematics,National Council of Teachers of Mathematics,1073-5836
Teaching Drama,Rhinegold Publishing Limited,1755-6716
Teaching Education,Routledge,1047-6210(Paper)1470-1286(Online)
Teaching English in the Two-Year College,National Council of Teachers of English,0098-6291
Teaching Ethics,Philosophy Documentation Center,1544-4031(Paper)2154-0551(Online)
Teaching Exceptional Children,SAGE Publications,0040-0599
Teaching for Excellence and Equity In Mathematics,Todos Mathematics for All,(Paper)2153-0173(Online)
Teaching for Success,Pentronics Publishing,1084-0427
Teaching Geography,Geographical Association,0305-8018
Teaching History,Historical Association,0040-0610
Teaching in Higher Education,Routledge,1356-2517(Paper)1470-1294(Online)
Teaching Mathematics and its Applications,Oxford University Press,0268-3679(Paper)1471-6976(Online)
Zeitschrift für Rechtssoziologie,De Gruyter,0174-0202
Zeitschrift für Religionswissenschaft,De Gruyter,0943-8610(Paper)2194-508X(Online)
Zeitschrift für Rezensionen zur germanistischen Sprachwissenschaft,De Gruyter,1867-1691(Paper)1867-1705(Online)
Zeitschrift für Rheumatologie,Springer Science+Business Media B.V.,0340-1855(Paper)1435-1250(Online)
Zeitschrift für romanische Philologie,De Gruyter,0049-8661(Paper)1865-9063(Online)
Zeitschrift für Sexualforschung,Thieme Medical Publishers Inc,0932-8114(Paper)1438-9460(Online)
Zeitschrift für Sicherheits- und Außenpolitik,Springer Science+Business Media B.V.,1866-2188(Paper)1866-2196(Online)
Zeitschrift für Slawistik,De Gruyter,0044-3506
Zeitschrift für Sozialpädagogik,Juventa Verlag GmbH,1610-2339
Zeitschrift für Sozialpsychologie,"Hogrefe AG, Verlag Hans Huber Publishers",0044-3514
Zeitschrift für Sozialreform,De Gruyter,0514-2776
Zeitschrift für Soziologie,De Gruyter,0340-1804
Zeitschrift für Sportpsychologie,Hogrefe Verlag GmbH & Co. KG,1612-5010
Zeitschrift für Sprachwissenschaft,De Gruyter,0721-9067(Paper)1613-3706(Online)
Zeitschrift für Staats- und Europawissenschaften,De Gruyter,1610-7780(Paper)1612-7013(Online)
Zeitschrift für Staats- und Europawissenschaften,Nomos Verlagsgesellschaft,1610-7780(Paper)1612-7013(Online)
Zeitschrift für Stiftungs- und Vereinswesen (ZStV),Nomos Verlagsgesellschaft,1869-800X
Zeitschrift für Stoffrecht - StoffR,Lexxion Verlagsgesell,1613-3919(Paper)2190-815X(Online)
Zeitschrift für Tourismuswissenschaft,De Gruyter,1867-9501
Zeitschrift für Unternehmens- und Gesellschaftsrecht,De Gruyter,0340-2479(Paper)1612-7048(Online)
Zeitschrift für Unternehmensgeschichte/Journal of Business History,Verlag C.H.Beck,0342-2852
Zeitschrift für Vergleichende Politikwissenschaft,Springer Science+Business Media B.V.,1865-2646(Paper)1865-2654(Online)
Zeitschrift fur Weltgeschichte,Verlag Peter Lang Ag ,1615-2581
Zeitschrift für Wettbewerbsrecht,De Gruyter,1611-1982(Paper)2199-1723(Online)
Zeitschrift für Wirtschafts- und Unternehmensethik,Rainer Hampp Verlag,1439-880X(Paper)1862-0043(Online)
Zeitschrift Für Wirtschaftsgeographie,De Gruyter,0044-3751
Zeitschrift für Wirtschaftspolitik,De Gruyter,0721-3808(Paper)2366-0317(Online)
ZZI: Zeitschrift für Zahnärztliche Implantologie ,Deutscher Aerzte Verlag GmBH,
Zeitschrift für Zivilprozess,De Gruyter,0342-3468(Paper)2366-2077(Online)
Zeitschrift für Zölle und Verbrauchsteuern (ZfZ),Stollfuss Medien GmH & Co KG,0342-3484
Zeitschrift für Zukunftsforschung,Zeitschrift Zukunftsforschung,2195-3155
Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Germanistische Abteilung,Boehlau Verlag GmbH & Company KG,0323-4045(Paper)2304-4861(Online)
Zeitscrift Fuer Weiterbildungsforschung - Report,Springer Science+Business Media B.V.,2364-0014(Paper)2364-0022(Online)
Zeitung fuer Kommunalfinanzen,Stollfuss Medien GmH & Co KG,0174-1136
Zeitzeichen: Evangelische Kommentare zu Religion und Gesellschaft,Geimeinschaftsw Evangel PD Gep,1616-4164
"Zentralblatt fï¿½r Arbeitsmedizin, Arbeitsschutz und Ergonomie",Urban & Vogel Medien & Medizin ,0944-2502(Paper)2198-0713(Online)
Zentralblatt für Chirurgie,Georg Thieme Verlag Stuttgart,0044-409X(Paper)1438-9592(Online)
Zentralblatt für Gynäkologie,Georg Thieme Verlag Stuttgart,0044-4197
Zentralblatt für Kinderchirurgie,Georg Thieme Verlag Stuttgart,0940-9599(Paper)1438-9770(Online)
Zentralblatt für Neurochirurgie/Central European Neurosurgery,Georg Thieme Verlag Stuttgart,0044-4251(Paper)1438-9746(Online)
Zeolites,Elsevier Science,0144-2449
Zephyrus,Ediciones Univ De Salamanca,0514-7336(Paper)2386-3943(Online)
Zero to Three,National Center for Clinical Infant Programs,0736-8038
zerosottozero,Tecniche Nuove Spa,1122-0376
Zeste,Groupe Altice Media,2112-4116
Zeszyty Naukowe Wielkopolskiego Centrum Onkologii,Elsevier Science,1734-0489
ZEuS - Zeitschrift für Europarechtliche Studien,BWV Berliner Wissenschafts-Verlag GmbH,1435-439X
ZevRail: Glasers Annalen,George Siemens Verlag,1618-8330
ZFA - Zeitschrift fur Allgemeinmedizin,Thieme Medical Publishers Inc,1433-6251
ZfC Zeitschrift für Compliance ,Erich Schmidt Verlag GMBH & Co.,(Paper)2195-7231(Online)
ZfKE – Zeitschrift für KMU und Entrepreneurship,Duncker and Humblot,1860-4633(Paper)1865-5114(Online)
ZfPW Zeitschrift fuer die Gesamte Privatrechtswissenschaft,Verlag C.H.Beck,2363-4960
Zfv Zeitschrift fuer Geodaesie Geoinformation und Landmanagement,Wissner Verlag,1618-8950
ZIREB Zagreb International Review of Economics & Business,De Gruyter,1331-5609(Paper)1849-1162(Online)
Zisu Zeitschrift Fuer Interpretative Schul Und Unterrichtsforschung,Verlag Barbara Budrich,
ZKN Mitteilungen,ZKN Mitteilungen%ZAhnaerztek,
ZMR: Zeitschrift fur Miet und Raumrecht,De Gruyter,0340-7497(Paper)2366-2069(Online)
Znamia,East View Information Services Inc,0130-1616
Zoo Biology,"Wiley-Liss, Inc.",0733-3188(Paper)1098-2361(Online)
Zookeys,Pensoft Publishers,1313-2989(Paper)1313-2970(Online)
Zoologica Poloniae,Versita,0044-510X(Paper)2083-6112(Online)
Zoologica Scripta,Wiley-Blackwell,0300-3256(Paper)1463-6409(Online)
"Zoological Journal of the Linnean Society (after Jan 1, 2002)",Wiley-Blackwell,0024-4082(Paper)1096-3642(Online)
"Zoological Journal of the Linnean Society (prior to Jan 1, 2002)",Elsevier Science,0024-4082(Paper)1096-3642(Online)
Zoological Letters,BioMed Central,(Paper)2056-306X(Online)
Zoological Studies,Springer Science+Business Media B.V.,1021-5506(Paper)1810-522X(Online)
Zoological Studies,Biodiversity Research Center,1021-5506
Zoologische Mededelingen,NCB Naturalis,0024-0672(Paper)1876-2174(Online)
Zoologischer Anzeiger - A Journal of Comparative Zoology,Urban & Fischer Verlag Jena,0044-5231
Zoologischer Anzeiger - A Journal of Comparative Zoology,Elsevier Science,0044-5231
Zoology,Elsevier Science,0944-2006
Zoology,Urban & Fischer Verlag Jena,0944-2006
Zoology and Ecology,Taylor & Francis,2165-8005(Paper)2165-8013(Online)
Zoology in the Middle East,Taylor & Francis,0939-7140
Zoomorphology,Springer Science+Business Media B.V.,0720-213X(Paper)1432-234X(Online)
Zoonoses and Public Health,Wiley-Blackwell,1863-1959(Paper)1863-2378(Online)
Zooquaria,EAZA Executive Office,
Zoosystematics and Evolution,WILEY-VCH Verlag GmbH,1435-1935(Paper)1860-0743(Online)
ZOOTAXA,Magnolia Press,1175-5326(Paper)1175-5334(Online)
Zorg + Welzijn,Springer Science+Business Media B.V.,1381-4664(Paper)2468-1369(Online)
Zorg en Financiering,Springer Science+Business Media B.V.,1569-948X(Paper)1876-5122(Online)
Zorgvisie,Bohn Stafleu Van Loghum BV,1384-4199(Paper)2468-1415(Online)
Zorgvisie ICT,Springer Science+Business Media B.V.,2213-8773(Paper)2468-1423(Online)
ZQF - Zeitschrift für Qualitative Forschung,Verlag Barbara Budrich,1438-8324
ZSE : Zeitschrift für Soziologie der Erziehung und Sozialisation; journal for sociology of education and socialization,Juventa Verlag GmbH,1436-1957
Züchtungskunde,Verlag Eugen Ulmer,0044-5401
Zuliefermarkt,Carl Hanser Verlag,(Paper)0177-1027(Online)
Zuschnitt,Pro Holz,
Zutot: Perspectives on Jewish Culture,Brill Academic Publishers,1571-7283(Paper)1875-0214(Online)
Zweig Letter,Aweig White & Associates,1068-1310
ZWF: Zeitschrift fuer den Wirtschaftlichen Fabrikbetrieb,Carl Hanser Verlag,0947-0085
ZWR - Das Deutsche Zahnärzteblatt,Thieme Medical Publishers Inc,0044-166x
Zygon,Wiley-Blackwell,0591-2385(Paper)1467-9744(Online)
Zygote,Cambridge University Press (CUP),0967-1994(Paper)1469-8730(Online)
Water Resources Research,American Geophysical Union (AGU),0043-1397
Water SA,Water Research Commission,0378-4738
Water Science,Elsevier Science,1110-4929
Water Science and Engineering,Elsevier Science,1674-2370
Water Science and Technology,IWA Publishing,0273-1223(Paper)1996-9732(Online)
Water Science and Technology: Water Supply,IWA Publishing,1606-9749(Paper)1607-0798(Online)
Water Utility Management International,IWA Publishing,1747-7751(Paper)1747-776x(Online)
Water Well Journal,National Ground Water Association,0043-1443
"Water, Air, & Soil Pollution",Springer Science+Business Media B.V.,0049-6979
"Water, Air, & Soil Pollution: Focus",Springer Science+Business Media B.V.,1567-7230
Waterbirds,Amigos Library Services,1524-4695(Paper)1938-5390(Online)
Waterlines,Practical Action Publishing,0262-8104
The Watermark,Archivists and Librarians in the History of the Health Sciences (ALHHS),1553-7641
Watt Poultry USA,Watt Publishing Company,1529-1677
Wave Motion,Elsevier Science,0165-2125
Waves in Random and Complex Media,Taylor & Francis,1745-5030(Paper)1745-5049(Online)
"Waves, Wavelets and Fractals",De Gruyter,(Paper)2449-5557(Online)
Way,The Way,0043-1575
Way Ahead,Society of Petroleum Engineers,2224-4522
WEA Theological News,World Evangelical Alliance,
Wear,Elsevier Science,0043-1648
Weather,"John Wiley & Sons, Inc",0043-1656(Paper)1477-8696(Online)
Weather and Climate Extremes,Elsevier Science,(Paper)2212-0947(Online)
Weather and Forecasting,American Meteorological Society,0882-8156(Paper)1520-0434(Online)
"Weather, Climate and Society",American Meteorological Society,1948-8335(Paper)1948-8327(Online)
Weatherwise,Taylor & Francis,0043-1672
Web Developers & Designers Journal,Sys-Con Publications Inc. ,
Web Intelligence,IOS Press,2405-6456(Paper)2405-6464(Online)
Web Intelligence and Agent Systems,IOS Press,1570-1263(Paper)1875-9289(Online)
Web Journal of Current Legal Issues,University of Newcastle Upon Tyne,
"Web Semantics: Science, Services and Agents on the World Wide Web",Elsevier Science,1570-8268
Webbia,Taylor & Francis,0083-7792(Paper)2169-4060(Online)
Webology,University of Tehran,(Paper)1735-188X(Online)
Weed Biology and Management,Wiley-Blackwell,1444-6162(Paper)1445-6664(Online)
Weed Research,Wiley-Blackwell,0043-1737(Paper)1365-3180(Online)
Weed Science,Weed Science Society of America,0043-1745(Paper)1550-2759(Online)
Weed Technology,Weed Science Society of America,0890-037X(Paper)1550-2740(Online)
Weekblad Facilitair & Gebouwbeheer,Holapress Communicatie,1871-594x
Weekly Reader Edition 1,Weekly Reader Corporation,0890-3220
Weekly Reader Edition 2,Weekly Reader Corporation,
Weekly Reader Edition 3 (Weekly Reader News),Weekly Reader Corporation,0890-3204
Weekly Reader Edition K,Weekly Reader Corporation,0890-3166
Weekly Reader News Edition 4-6,Weekly Reader Corporation,2159-7928
Weekly Reader Pre-K Edition,Weekly Reader Corporation,0890-3174
Weekly State Tax Report,Bloomberg BNA,(Paper)1534-1550(Online)
Weeklyfix,Euromoney Institutional Investor PLC,
WEF Highlights,Water Environment Federation,1087-3384
WEF Proceedings,Water Environment Federation,1938-6478
Wege zum Menschen,Vandenhoeck & Ruprecht,0043-2040
Weiss Ratings Guide to Banks and Thrifts,Grey House Publishing,
Weiss Ratings Guide to Health Insurers,Grey House Publishing,
Weiss Ratings Guide to Life and Annuity Insurers,Grey House Publishing,
Weiss Ratings Guide to Property and Casualty Insurers,Grey House Publishing,1529-9902
Welcome,Church World Service,
Welding and Cutting,DVS Media GmbH,1612-3433
Welding in the World,Springer Science+Business Media B.V.,0043-2288(Paper)1878-6669(Online)
Welding in the World,International Institute of Welding,0043-2288
Welding International,Taylor & Francis,0950-7116(Paper)1754-2138(Online)
Well Played,Entertainment Technology Center,2164-344X(Paper)2164-3458(Online)
Well Servicing,Association of Energy Service Companies,0043-2393
Wellington Working Papers in Linguistics,Victoria University of Wellington,1170-1978
Welsh History Review,University of Wales Press,0043-2431
Welsh Journal of Education,University of Wales Press,0957-297X
Welt des Orients,Vandenhoeck & Ruprecht,
Welt Sichten,Gemeinschaftswerk Evangel PD,
Werkstatt und Betrieb WB,Carl Hanser Verlag,0043-2792
