ShortName,LongName,Issn
YUYE KEXUE JINZHAN,"YELLOW SEA FISHERIES RESEARCH INST, 106 NANJING RD, QINGDAO, PEOPLES R CHINA, SHANDONG, 266071",1000-7075
YUZUNCU YIL UNIVERSITY JOURNAL OF AGRICULTURAL SCIENCES,"YUZUNCU YIL UNIV, ZIRAAT FAKULTESI, ZEVE KAMPSUSU, VAN, TURKEY, 65080",1308-7576
ZAG-PHOENIX,"ZAG WIRBELLOSE E V, C/O INGO FRITSCHE, VORSITZENDER UNTER DER LINDE 8, WERNIGERODE, GERMANY, OT SILSTEDT, 38855",2192-6719
ZAGREB INTERNATIONAL REVIEW OF ECONOMICS & BUSINESS,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",1331-5609
ZAMM-ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, WEINHEIM, GERMANY, 69451",0044-2267
ZAPADOCESKE ENTOMOLOGICKE LISTY,"ZAPADOCESKE POBOCKY CESKE SPOLECNOSTI ENTOMOLOGICKE, C/O LIBOR DVORAK, MESTSKE MUZEUM MARIANSKE LAZNE, GOETHOVO NAMESTI 11, MARIANSKE LAZNE, CZECH REPUBLIC, CZ-35301",1804-3062
ZAPOROZHYE MEDICAL JOURNAL,"ZAPORIZHZHYA STATE MEDICAL UNIV, PR-KT MAYAKOVSKOGO, 26, ZAPORIZHZHYA, UKRAINE, 69035",2306-4145
ZAPOVIDNA SPRAVA V UKRAINI,"KANIVSKIJ PRORODNIJ ZAPOVIDNIK, KANIVSKIJ PRORODNIJ ZAPOVIDNIK, KANIV, UKRAINE, 19000",1729-7184
ZASHTITA PRIRODE,"INST PROTECTION NATURE SERBIA, 3 BULEVAR 106, NOVI BEOGRAD, SERBIA MONTENEG, 11070",0514-5899
ZBIRNYK PRATS ZOOLOGICHNOHO MUZEYA-KYIV,"ZOOLOGICAL MUSEUM, ZOOLOGICAL MUSEUM, KIEV, UKRAINE, 00000",0132-1102
ZBORNIK INSTITUTA ZA PEDAGOSKA ISTRAZIVANJA,"INST PEDAGOSKA ISTRAZIVANJA, DOBRINJSKA 11/III, BELGRADE, SERBIA, 11000",0579-6431
ZBORNIK MATICE SRPSKE ZA LIKOVNE UMETNOSTI-MATICA SRPSKA JOURNAL FOR FINE ARTS,"MATICA SRPSKA, MATICE SRPSKE 1, NOVI SAD, SERBIA, 21000",0352-6844
ZBORNIK MATICE SRPSKE ZA SLAVISTIKU-MATICA SRPSKA JOURNAL OF SLAVIC STUDIES,"MATICA SRPSKA, MATICE SRPSKE 1, NOVI SAD, SERBIA, 21000",0352-5007
ZBORNIK MATITSE SRPSKE ZA PRIRODNE NAUKE,"DEPARTMENT NATURAL SCIENCES, UL. MATICE SRPSKE 1, NOVI SAD, YUGOSLAVIA, 21000",0352-4906
ZBORNIK RADOVA EKONOMSKOG FAKULTETA U RIJECI-PROCEEDINGS OF RIJEKA FACULTYOF ECONOMICS,"UNIV RIJEKA, FAC ECOMOMICS, IVANA FILIPOVICA 4, RIJEKA, CROATIA, 51000",1331-8004
ZBORNIK RADOVA O FAUNI SRBIJE,"SRPSKA AKAD NAUKA I UMETNOSTI, KNEZ MIHAILOVA ULICA 35, P O BOX 366, BELGRADE, SERBIA MONTENEG, 00000",0351-7225
ZBORNIK RADOVA VIZANTOLOSKOG INSTITUTA,"SRPSKA AKAD NAUKA I UMETNOSTI, KNEZ MIHAILOVA ULICA 35, P O BOX 366, BELGRADE, SERBIA MONTENEG, 00000",0584-9888
ZBORNIK SLOVENSKEHO NARODNEHO MUZEA PRIRODNE VEDY,"SLOVENSKE NARODNE MUZEUM V BRATISLAVE, VAJANSKEHO NABREZIE 2, BRATISLAVA, SLOVAKIA",0139-5424
ZDM-THE INTERNATIONAL JOURNAL ON MATHEMATICS EDUCATION,"SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",1863-9690
ZDRAVSTVENO VARSTVO,"INST PUBLIC HEALTH REPUBLIC SLOVENIA, TRUBARJEVA 2, PP 260, LJUBLJANA, SLOVENIA, 1000",0351-0026
ZEBRAFISH,"MARY ANN LIEBERT, INC, 140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",1545-8547
ZEEPAARD,"STRANDWERKGEMEENSCHAP, C/O PIET VOS, MUNNIKENSTRAAT 43, LEIDEN, NETHERLANDS, 2315 KV",0926-3497
ZEITGESCHICHTE,"STUDIENVERLAG, ERLERSTR 10, INNSBRUCK, AUSTRIA, A-6020",0256-5250
ZEITSCHRIFT DER ARBEITSGEMEINSCHAFT OESTERREICHISCHER ENTOMOLOGEN,"ARBEITSGEMEINSCHAFT OESTERREICHISCHER ENTOMOLOGEN, LUDO-HARTMANN-PLATZ 7, VIENNA, AUSTRIA",0375-5223
ZEITSCHRIFT DER DEUTSCHEN GESELLSCHAFT FUR GEOWISSENSCHAFTEN,"E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG, NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176",1860-1804
ZEITSCHRIFT DER DEUTSCHEN MORGENLANDISCHEN GESELLSCHAFT,"HARRASSOWITZ VERLAG, KREUZBERGER RING 7B-D,, WIESBADEN, GERMANY, 65205",0341-0137
ZEITSCHRIFT DES DEUTSCHEN PALASTINA-VEREINS,"VERLAG OTTO HARRASSOWITZ, TAUMUSSTR 14,, WIESBADEN, GERMANY, 65183",0012-1169
ZEITSCHRIFT DES DEUTSCHEN VEREINS FUR KUNSTWISSENSCHAFT,"DEUTSCHER VERLAG KUNSTWISSEN, NEUE GRUNSTR 17, BERLIN, GERMANY, D-10179",0044-2135
ZEITSCHRIFT DES KOELNER ZOO,"ZOOLOGISCHER GARTEN, RIEHLER STRASSE 173, KOELN, GERMANY, 50735",0375-5290
ZEITSCHRIFT FUER GANZHEITLICHE TIERMEDIZIN,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",0939-7868
ZEITSCHRIFT FUER INDIVIDUALPSYCHOLOGIE,"VANDENHOECK & RUPRECHT, THEATERSTRASSE 13,, GOTTINGEN, GERMANY, D-37073",0342-393X
ZEITSCHRIFT FUER MYKOLOGIE,"DEUTSCHE GESELLSCHAFT MYKOLOGIE, POSTFACH 700447, MUNICH, GERMANY, 00000",0170-110X
ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-216X
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN,"EUROPEAN MATHEMATICAL SOC, PUBLISHING HOUSE, E T H-ZENTRUM SEW A27, SCHEUCHZERSTRASSE 70, ZURICH, SWITZERLAND, CH-8092",0232-2064
ZEITSCHRIFT FUR ANGEWANDTE GEOLOGIE,"E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG, NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176",0044-2259
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,"SPRINGER BASEL AG, PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052",0044-2275
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-2305
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, WEINHEIM, GERMANY, 69451",0044-2313
ZEITSCHRIFT FUR ANTIKES CHRISTENTUM-JOURNAL OF ANCIENT CHRISTIANITY,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0949-9571
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",0932-4089
ZEITSCHRIFT FUR ARZNEI- & GEWURZPFLANZEN,"AGRIMEDIA GMBH, LUCHOWER STR 13A, CLENZE, GERMANY, 29459",1431-9292
ZEITSCHRIFT FUR ASSYRIOLOGIE UND VORDERASIATISCHE ARCHAOLOGIE,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0084-5299
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,"VITTORIO KLOSTERMANN GMBH, WESTERBACHSTRASSE 47, HAUS 1, FRANKFURT-AM-MAIN, GERMANY, D-60489",0044-2380
ZEITSCHRIFT FUR DEUTSCHE PHILOLOGIE,"ERICH SCHMIDT VERLAG, GENTHINER STRASSE 30G, BERLIN-TIERGARTEN, GERMANY, D-10785",0044-2496
ZEITSCHRIFT FUR DEUTSCHES ALTERTUM UND DEUTSCHE LITERATUR,"FRANZ STEINER VERLAG GMBH, BIRKENWALDSTRABE 44, STUTTGART, GERMANY, D-70191",0044-2518
ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK,"FRANZ STEINER VERLAG GMBH, BIRKENWALDSTRABE 44, STUTTGART, GERMANY, D-70191",0044-1449
ZEITSCHRIFT FUR DIE ALTTESTAMENTLICHE WISSENSCHAFT,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-2526
ZEITSCHRIFT FUR DIE NEUTESTAMENTLICHE WISSENSCHAFT UND DIE KUNDE DER ALTEREN KIRCHE,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-2615
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",0049-8637
ZEITSCHRIFT FUR EPILEPTOLOGIE,"SPRINGER INTERNATIONAL PUBLISHING AG, GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",1617-6782
ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,"VS VERLAG SOZIALWISSENSCHAFTEN-GWV FACHVERLAGE GMBH, ABRAHAM-LINCOLN-STR 46, WIESBADEN, GERMANY, 65189",1434-663X
ZEITSCHRIFT FUR ETHNOLOGIE,"DIETRICH REIMER VERLAG, NEUE GRUENSTR 17, BERLIN, GERMANY, 10179",0044-2666
ZEITSCHRIFT FUR EVALUATION,"WAXMANN VERLAG GMBH, POSTFACH 8603, MUNSTER, GERMANY, D-48046",1619-5515
ZEITSCHRIFT FUR EVANGELISCHE ETHIK,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-2674
ZEITSCHRIFT FUR FAMILIENFORSCHUNG,"VERLAG BARBARA BUDRICH, STAUFFENBERGSTR 7, LEVERKUSEN, GERMANY, D-51379",1437-2940
ZEITSCHRIFT FUR FELDHERPETOLOGIE,"LAURENTI VERLAG, C/O DR. BURKHARD THIESMEIER, DIEMELWEG 7, BIELEFELD, GERMANY, D-33649",0946-7998
ZEITSCHRIFT FUR FISCHKUNDE,"VERLAG NATUR & WISSENSCHAFT, BEREICH VERSANDBUCHHANDLUNG, HARRO HIERONIMUS & DR JURGEN SCHMIDT, DOMPFAFFWEG 53, SOLINGEN, GERMANY, 42659",0939-6330
ZEITSCHRIFT FUR FRANZOSISCHE SPRACHE UND LITERATUR,"FRANZ STEINER VERLAG GMBH, BIRKENWALDSTRABE 44, STUTTGART, GERMANY, D-70191",0044-2747
ZEITSCHRIFT FUR GASTROENTEROLOGIE,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",0044-2771
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",0948-2393
ZEITSCHRIFT FUR GEOLOGISCHE WISSENSCHAFTEN,"GESELLSCHAFT FUER GEOWISSENSCHAFTEN, C/O A STORR, OSTKLUNE 11, USEDOM  WELZIN, GERMANY, D-17406",0303-4534
ZEITSCHRIFT FUR GEOMORPHOLOGIE,"GEBRUDER BORNTRAEGER, JOHANNESSTR 3A, STUTTGART, GERMANY, D-70176",0372-8854
ZEITSCHRIFT FUR GERMANISTIK,"PETER LANG GMBH, EUROPAISCHER VERLAG WISSENSCH JUPITERSTRASSE 15, BERN 15, SWITZERLAND, CH-3000",0323-7982
ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0301-3294
ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,"SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",0948-6704
ZEITSCHRIFT FUR GESCHICHTSWISSENSCHAFT,"METROPOL-VERLAG, KURFURSTENSTRASSE 135, BERLIN, GERMANY, 10785",0044-2828
ZEITSCHRIFT FUR GESUNDHEITSPSYCHOLOGIE,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",0943-8149
ZEITSCHRIFT FUR HISTORISCHE FORSCHUNG,"DUNCKER & HUMBLOT GMBH, POSTFACH 410329, BERLIN, GERMANY, 12113",0340-0174
ZEITSCHRIFT FUR INTERKULTURELLE GERMANISTIK,TRANSCRIPT VERLAG,1869-3660
ZEITSCHRIFT FUR KATALANISTIK,"ALBERT LUDWIGS UNIV, ROMANISCHES SEMINAR, PLATZ DER UNIVERSITAT 3, FREIBURG IM BREISGAU, GERMANY, D-79085",0932-2221
ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND PSYCHOTHERAPIE,"VERLAG HANS HUBER, LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",1422-4917
ZEITSCHRIFT FUR KIRCHENGESCHICHTE,"W KOHLHAMMER GMBH, HESSBRUHLSTRASSE 69 POSTFACH 800430, STUTTGART, GERMANY, W-7000",0044-2925
ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",1616-3443
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-CRYSTALLINE MATERIALS,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",2194-4946
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",1433-7266
ZEITSCHRIFT FUR KUNSTGESCHICHTE,"DEUTSCHER KUNSTVERLAG GMBH, NYMPHENBURGER STR 84, MUNICH, GERMANY, 80636",0044-2992
ZEITSCHRIFT FUR MEDIZINISCHE PHYSIK,"ELSEVIER GMBH, URBAN & FISCHER VERLAG, OFFICE JENA, P O BOX 100537, JENA, GERMANY, 07705",0939-3889
ZEITSCHRIFT FUR NATIONALOKONOMIE,"SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013",0044-3158
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0932-0784
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0932-0776
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0939-5075
ZEITSCHRIFT FUR NEUROPSYCHOLOGIE,"VERLAG HANS HUBER, LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",1016-264X
ZEITSCHRIFT FUR ORTHOPADIE UND UNFALLCHIRURGIE,"THIEME MEDICAL PUBL INC, 333 SEVENTH AVE, NEW YORK, USA, NY, 10001",1864-6697
ZEITSCHRIFT FUR PADAGOGIK,"VERLAG JULIUS BELTZ, AM HAUPTBAHNHOF 10 POSTFACH 1120, WEINHEIM, GERMANY, W-6940",0044-3247
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,"VERLAG HANS HUBER, LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",1010-0652
ZEITSCHRIFT FUR PALLIATIVMEDIZIN,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",1615-2921
ZEITSCHRIFT FUR PHILOSOPHISCHE FORSCHUNG,"VITTORIO KLOSTERMANN GMBH, WESTERBACHSTRASSE 47, HAUS 1, FRANKFURT-AM-MAIN, GERMANY, D-60489",0044-3301
ZEITSCHRIFT FUR PHYSIK,"SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013",0044-3328
ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0942-9352
ZEITSCHRIFT FUR PSYCHIATRIE PSYCHOLOGIE UND PSYCHOTHERAPIE,"VERLAG HANS HUBER, LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",1661-4747
ZEITSCHRIFT FUR PSYCHOLOGIE,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",0323-8342
ZEITSCHRIFT FUR PSYCHOLOGIE-JOURNAL OF PSYCHOLOGY,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",2190-8370
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,"VANDENHOECK & RUPRECHT, THEATERSTRASSE 13,, GOTTINGEN, GERMANY, D-37073",1438-3608
ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE,"BRILL ACADEMIC PUBLISHERS, PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",0044-3441
ZEITSCHRIFT FUR RHEUMATOLOGIE,"SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",0340-1855
ZEITSCHRIFT FUR ROMANISCHE PHILOLOGIE,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0049-8661
ZEITSCHRIFT FUR SEMIOTIK,"STAUFFENBURG VERLAG, BRIGITTE NARR GMBH, AUGUST-BEBEL-STR 17,  P.O. BOX 2525, TUBINGEN, GERMANY, D-72072",0170-6241
ZEITSCHRIFT FUR SEXUALFORSCHUNG,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",0932-8114
ZEITSCHRIFT FUR SLAVISCHE PHILOLOGIE,"UNIVERSITATSVERLAG C WINTER HEIDELBERG GMBH, POSTFACH 10 61 40, HEIDELBERG, GERMANY, D-69051",0044-3492
ZEITSCHRIFT FUR SLAWISTIK,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-3506
ZEITSCHRIFT FUR SOZIOLOGIE,"LUCIUS LUCIUS VERLAG MBH, GEROKSTR 51, STUTTGART, GERMANY, D-70184",0340-1804
ZEITSCHRIFT FUR SOZIOLOGIE DER ERZIEHUNG UND SOZIALISATION,"JUVENTA VERLAG GMBH, EHRETSTR 3, WEINHEIM, GERMANY, 69469",1436-1957
ZEITSCHRIFT FUR SPORTPSYCHOLOGIE,"HOGREFE & HUBER PUBLISHERS, MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",1612-5010
ZEITSCHRIFT FUR SPRACHWISSENSCHAFT,"DE GRUYTER MOUTON, GENTHINER STRASSE 13, BERLIN, GERMANY, 10785",0721-9067
ZEITSCHRIFT FUR THEOLOGIE UND KIRCHE,"J C B MOHR, POSTFACH 2040, TUBINGEN, GERMANY, W-7400",0044-3549
ZEITSCHRIFT FUR TOURISMUSWISSENSCHAFT,"LUCIUS LUCIUS VERLAG MBH, GEROKSTR 51, STUTTGART, GERMANY, D-70184",1867-9501
ZEITSCHRIFT FUR VERGLEICHENDE POLITIKWISSENSCHAFT,"SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH, ABRAHAM-LINCOLN STASSE 46, WIESBADEN, GERMANY, 65189",1865-2646
ZEITSCHRIFT FUR VOLKSKUNDE,"W KOHLHAMMER GMBH, HESSBRUHLSTRASSE 69 POSTFACH 800430, STUTTGART, GERMANY, W-7000",0044-3700
ZEITSCHRIFT FUR WIRTSCHAFTSGEOGRAPHIE,"WALTER DE GRUYTER GMBH, GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",0044-3751
ZELEDONIA,"ASOC ORNITOLOGICA COSTA RICA, APDO 2289-1002, SAN JOSE, COSTA RICA, 00000",1659-0732
ZEMDIRBYSTE-AGRICULTURE,"LITHUANIAN RESEARCH CENTRE AGRICULTURE & FORESTRY, ALEXANDRAS STULGINSKIS UNIV, KEDAINIU R, LITHUANIA, LT-58344",1392-3196
ZENTRALBLATT FUR ARBEITSMEDIZIN ARBEITSSCHUTZ UND ERGONOMIE,"SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",0944-2502
ZENTRALBLATT FUR CHIRURGIE,"GEORG THIEME VERLAG KG, RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",0044-409X
ZEPHYRVS-REVISTA DE PREHISTORIA Y ARQUEOLOGIA,"UNIV SALAMANCA, EDICIONES, SECRETARIADO PUBLICACIONES & INTERCAMBIO CIENTIFICO, PATIO DE ESCUELAS,1, APARTADO 325, SALAMANCA, SPAIN, 37080",0514-7336
ZESZYTY NAUKOWE UNIWERSYTETU PRZYRODNICZEGO WE WROCLAWIU,"WROCLAW UNIV ENVIRON & LIFE SCI, UL. SOPOCKA 23, WROCLAW, POLAND, 50-344",1897-208X
ZEYLANICA,"WHT PUBLICATIONS-PTE LTD, 95 COTTA RD, COLOMBO, SRI LANKA, 00000",1391-6270
ZGAP MITTEILUNGEN,"ZOOLOGISCHE GESELLSCHAFT ARTEN- POPULATIONSSCHUTZ E V, C/O DIRK PETZOLD, GEHSENWEG 28, BIELEFELD, GERMANY, D-33619",1616-9956
ZHEJIANG NONGLIN DAXUE XUEBAO,"ZHEJIANG A&F UNIV, 88 HUANCHENG BEI LU, LINAN CITY, PEOPLES R CHINA, ZHEJIANG PROVINCE, 311300",2095-0756
ZHIVOTNOV DNI NAUKI,"CENTRE SCIENTIFIC & TECHN INFO, PUBL DEPT, 125 TZARIGRADSKO SHOSSE BLVD, BLOCK 1, SOFIA, BULGARIA, 1113",0514-7441
ZHIVOTNYI MIR DALNEGO VOSTOKA,"BLAGOVESHCHENSKIY STATE PEDAGOGICAL UNIV, BLAGOVESHCHENSKIY STATE PEDAGOGICAL UNIV, BLAGOVESHCHENSK, RUSSIA, 675000",0208-1547
ZHONGGUO HAIYANG DAXUE XUEBAO,"OCEAN UNIV CHINA, 5 YUSHAN RD, QINGDAO, PEOPLES R CHINA, 266003",1672-5174
ZHONGGUO MEIJIESHENGWUXUE JI KONGZHI ZAZHI,"EDITORIAL OFFICE CHINESE JOURNAL VECTOR BIOLOGY CONTROL, P.O. BOX 5, CHANGPING, PEOPLES R CHINA, BEIJING, 102206",1003-8280
ZHONGGUO NONGYE DAXUE XUEBAO,"CHINA AGRICULTURAL UNIV, NO 2 YUANMINGYUAN XILU, BEIJING, PEOPLES R CHINA, 100193",1007-4333
ZHONGGUO SENLIN BINGCHONG,"FOREST PEST DISEASE, NO. 58 NORTH HUANGHE ST., SHENYANG, PEOPLES R CHINA, 110034",1671-0886
ZHONGGUO SHOUYI KEXUE,"LANZHOU VETERINARY RESEARCH INST, XUJIAPING 1, YANCHANGBU, LANZHOU, PEOPLES R CHINA, GANSU, 730046",1673-4696
ZHONGGUO XUEXICHONGBING FANGZHI ZAZHI,"CHINA PREVENTATIVE MEDICINE ASSOC, MEIYUAN, WUXI, PEOPLES R CHINA, JIANGSU, 214064",1005-6661
ZHONGGUO YIYAO GONGYE ZAZHI,"SHANGHAI INST PHARMACEUTICAL INDUSTRY, 1320 BEIJING XI LU, SHANGHAI, PEOPLES R CHINA, 00000",1001-8255
ZHONGGUO ZHONGYAO ZAZHI,"ZHONGGUO ZHONGYAO ZAZHISHE, DONGZHIMEN-NEI, 16, NANXIAOJE, BEIJING, PEOPLES R CHINA, 100700",1001-5302
